iter	Passed	Remaining
0	8	8258
1	20	10461
2	24	8093
3	33	8392
4	41	8224
5	57	9581
6	70	10010
7	90	11236
8	124	13658
9	148	14697
10	165	14913
11	181	14936
12	196	14881
13	202	14293
14	218	14323
15	236	14565
16	243	14088
17	257	14030
18	261	13501
19	281	13787
20	285	13332
21	306	13632
22	323	13755
23	328	13341
24	339	13233
25	346	12972
26	355	12804
27	378	13132
28	388	13020
29	397	12863
30	409	12804
31	424	12839
32	439	12873
33	452	12862
34	466	12857
35	485	12989
36	499	12999
37	512	12973
38	525	12946
39	541	12995
40	552	12921
41	575	13138
42	586	13045
43	595	12935
44	608	12911
45	619	12847
46	630	12779
47	641	12719
48	654	12700
49	677	12870
50	687	12793
51	699	12758
52	710	12700
53	721	12640
54	737	12674
55	746	12578
56	758	12541
57	780	12675
58	791	12628
59	804	12604
60	821	12650
61	840	12713
62	842	12531
63	875	12800
64	891	12819
65	910	12889
66	919	12802
67	937	12851
68	943	12724
69	955	12695
70	982	12852
71	989	12753
72	1002	12735
73	1013	12677
74	1031	12716
75	1046	12723
76	1060	12718
77	1063	12576
78	1081	12609
79	1095	12594
80	1102	12505
81	1118	12517
82	1140	12599
83	1150	12549
84	1155	12436
85	1180	12544
86	1190	12488
87	1202	12458
88	1212	12412
89	1229	12429
90	1246	12456
91	1271	12553
92	1281	12501
93	1295	12490
94	1302	12408
95	1319	12423
96	1333	12414
97	1348	12410
98	1365	12429
99	1383	12447
100	1395	12423
101	1412	12439
102	1439	12535
103	1460	12584
104	1470	12532
105	1474	12437
106	1486	12406
107	1512	12489
108	1527	12486
109	1535	12420
110	1550	12418
111	1557	12350
112	1567	12303
113	1587	12341
114	1596	12287
115	1609	12267
116	1612	12172
117	1634	12220
118	1650	12221
119	1662	12194
120	1683	12229
121	1702	12252
122	1712	12208
123	1716	12129
124	1746	12225
125	1757	12192
126	1772	12185
127	1780	12132
128	1793	12109
129	1807	12093
130	1811	12018
131	1836	12075
132	1839	11992
133	1851	11967
134	1862	11936
135	1878	11936
136	1891	11916
137	1913	11955
138	1925	11925
139	1930	11856
140	1945	11854
141	1965	11873
142	1986	11904
143	2002	11901
144	2015	11886
145	2022	11827
146	2035	11811
147	2053	11819
148	2068	11815
149	2075	11758
150	2079	11691
151	2099	11713
152	2118	11728
153	2138	11745
154	2149	11718
155	2175	11770
156	2185	11734
157	2192	11682
158	2206	11672
159	2224	11678
160	2236	11656
161	2248	11633
162	2269	11651
163	2281	11627
164	2295	11617
165	2302	11566
166	2315	11550
167	2340	11590
168	2362	11615
169	2377	11605
170	2390	11587
171	2399	11550
172	2405	11501
173	2419	11484
174	2432	11469
175	2438	11416
176	2457	11424
177	2468	11397
178	2482	11385
179	2498	11381
180	2503	11329
181	2515	11306
182	2535	11318
183	2543	11281
184	2556	11261
185	2576	11274
186	2590	11262
187	2598	11225
188	2620	11243
189	2636	11241
190	2647	11214
191	2661	11201
192	2670	11168
193	2674	11112
194	2681	11068
195	2693	11049
196	2709	11043
197	2719	11014
198	2729	10986
199	2734	10937
200	2745	10915
201	2754	10879
202	2768	10870
203	2786	10871
204	2789	10819
205	2801	10796
206	2819	10803
207	2835	10795
208	2839	10747
209	2852	10732
210	2866	10719
211	2871	10672
212	2880	10644
213	2891	10621
214	2911	10630
215	2919	10596
216	2929	10570
217	2940	10548
218	2944	10499
219	2947	10449
220	2961	10438
221	2975	10428
222	2988	10412
223	3004	10407
224	3014	10384
225	3028	10371
226	3041	10357
227	3045	10313
228	3060	10303
229	3064	10259
230	3079	10250
231	3089	10227
232	3113	10249
233	3124	10228
234	3128	10183
235	3142	10172
236	3146	10130
237	3158	10113
238	3171	10097
239	3187	10092
240	3193	10057
241	3198	10017
242	3201	9973
243	3206	9934
244	3218	9919
245	3225	9886
246	3232	9855
247	3246	9843
248	3251	9805
249	3266	9799
250	3274	9772
251	3278	9732
252	3287	9707
253	3297	9683
254	3308	9666
255	3324	9662
256	3337	9649
257	3361	9666
258	3373	9650
259	3381	9624
260	3385	9586
261	3407	9598
262	3416	9573
263	3421	9537
264	3429	9510
265	3448	9515
266	3453	9480
267	3462	9456
268	3478	9452
269	3482	9416
270	3492	9394
271	3499	9367
272	3511	9352
273	3521	9331
274	3540	9333
275	3543	9294
276	3550	9267
277	3564	9257
278	3573	9235
279	3578	9202
280	3595	9200
281	3600	9168
282	3606	9136
283	3623	9135
284	3628	9103
285	3637	9080
286	3645	9056
287	3652	9029
288	3667	9022
289	3680	9010
290	3695	9004
291	3700	8973
292	3706	8944
293	3723	8942
294	3728	8909
295	3738	8892
296	3755	8889
297	3759	8856
298	3771	8842
299	3777	8815
300	3781	8781
301	3784	8747
302	3789	8717
303	3794	8688
304	3804	8668
305	3814	8651
306	3820	8623
307	3834	8615
308	3851	8612
309	3856	8584
310	3869	8572
311	3889	8575
312	3902	8566
313	3915	8554
314	3922	8529
315	3932	8511
316	3943	8496
317	3952	8476
318	3959	8452
319	3966	8428
320	3980	8419
321	3989	8399
322	3996	8375
323	4003	8353
324	4017	8344
325	4021	8313
326	4030	8294
327	4039	8276
328	4050	8260
329	4075	8275
330	4087	8262
331	4097	8244
332	4101	8214
